Date,Adj Close,Close,High,Low,Open,Volume
,XLK,XLK,XLK,XLK,XLK,XLK
1998-12-22,11.909104347229004,16.0234375,16.25,15.890625,16.203125,601000
1998-12-23,12.193622589111328,16.40625,16.40625,16.078125,16.375,676600
1998-12-24,12.14716911315918,16.34375,16.40625,16.28125,16.40625,487400
1998-12-28,12.1820068359375,16.390625,16.59375,16.296875,16.59375,618600
1998-12-29,12.216843605041504,16.4375,16.5078125,16.25,16.46875,247600
1998-12-30,12.17039680480957,16.375,16.5703125,16.2890625,16.34375,191200
1998-12-31,12.123943328857422,16.3125,16.453125,16.171875,16.375,154400
1999-01-04,12.263299942016602,16.5,16.78125,16.296875,16.328125,1301200
1999-01-05,12.5768461227417,16.921875,17.015625,16.53125,16.53125,590400
1999-01-06,12.948467254638672,17.421875,17.46875,17.203125,17.34375,1249400
1999-01-07,12.907821655273438,17.3671875,17.515625,17.140625,17.25,1069200
1999-01-08,12.960073471069336,17.4375,17.78125,17.2421875,17.75,1065600
1999-01-11,13.087821960449219,17.609375,17.9375,17.421875,17.9375,995800
1999-01-12,12.73362922668457,17.1328125,17.78125,17.1328125,17.75,972000
1999-01-13,12.727818489074707,17.125,17.578125,16.0,16.0,1096600
1999-01-14,12.553629875183105,16.890625,17.3125,16.78125,17.171875,732600
1999-01-15,12.925244331359863,17.390625,17.3984375,16.921875,17.0,1307800
1999-01-19,13.372347831726074,17.9921875,18.0,17.5078125,17.8125,874600
1999-01-20,13.494272232055664,18.15625,18.7421875,18.125,18.4375,2264400
1999-01-21,13.145888328552246,17.6875,18.15625,17.5625,18.125,2985800
1999-01-22,12.913625717163086,17.375,17.703125,17.1953125,17.375,2582000
1999-01-25,13.140083312988281,17.6796875,17.6875,17.296875,17.59375,1893200
1999-01-26,13.668471336364746,18.390625,18.40625,17.875,17.875,1427800
1999-01-27,13.378149032592773,18.0,18.7421875,18.0,18.625,2733800
1999-01-28,13.848475456237793,18.6328125,18.640625,18.3046875,18.375,1807200
1999-01-29,14.051700592041016,18.90625,18.921875,18.46875,18.6875,1867200
1999-02-01,14.063309669494629,18.921875,19.1875,18.78125,19.078125,1826000
1999-02-02,13.825248718261719,18.6015625,19.0,18.3125,19.0,2518400
1999-02-03,13.923954010009766,18.734375,19.03125,18.40625,18.53125,2668200
